,precision,recall,f1-score,support
airplane,0.6570327552986512,0.682,0.6692836113837095,1000.0
automobile,0.7422360248447205,0.717,0.7293997965412004,1000.0
bird,0.55625,0.445,0.49444444444444446,1000.0
cat,0.4386839481555334,0.44,0.43934098851722414,1000.0
deer,0.5682062298603652,0.529,0.5479026411185914,1000.0
dog,0.5588235294117647,0.513,0.5349322210636079,1000.0
frog,0.6450137236962489,0.705,0.6736741519350214,1000.0
horse,0.6775092936802974,0.729,0.7023121387283237,1000.0
ship,0.7182692307692308,0.747,0.7323529411764705,1000.0
truck,0.6273127753303964,0.712,0.6669789227166276,1000.0
accuracy,0.6219,0.6219,0.6219,0.6219
macro avg,0.6189337511047209,0.6218999999999999,0.6190621857625221,10000.0
weighted avg,0.6189337511047208,0.6219,0.6190621857625221,10000.0
