,precision,recall,f1-score,support
airplane,0.6653620352250489,0.68,0.6726013847675568,1000.0
automobile,0.7326633165829146,0.729,0.7308270676691729,1000.0
bird,0.5493975903614458,0.456,0.49836065573770494,1000.0
cat,0.4524793388429752,0.438,0.4451219512195122,1000.0
deer,0.547808764940239,0.55,0.5489021956087824,1000.0
dog,0.5652173913043478,0.52,0.5416666666666666,1000.0
frog,0.6402164111812444,0.71,0.6733048838311996,1000.0
horse,0.6849056603773584,0.726,0.7048543689320388,1000.0
ship,0.7325349301397206,0.734,0.7332667332667333,1000.0
truck,0.6440366972477064,0.702,0.6717703349282297,1000.0
accuracy,0.6245,0.6245,0.6245,0.6245
macro avg,0.6214622136203001,0.6245,0.6220676242627597,10000.0
weighted avg,0.6214622136203001,0.6245,0.6220676242627596,10000.0
