,precision,recall,f1-score,support
airplane,0.631578947368421,0.564,0.595879556259905,1000.0
automobile,0.601123595505618,0.749,0.6669634906500446,1000.0
bird,0.43258426966292135,0.462,0.44680851063829785,1000.0
cat,0.39135135135135135,0.362,0.3761038961038961,1000.0
deer,0.5527156549520766,0.346,0.42558425584255843,1000.0
dog,0.4752475247524752,0.48,0.47761194029850745,1000.0
frog,0.5475040257648953,0.68,0.6066012488849242,1000.0
horse,0.6202783300198808,0.624,0.6221335992023929,1000.0
ship,0.6569274269557022,0.697,0.6763706938379428,1000.0
truck,0.600216684723727,0.554,0.5761830473218928,1000.0
accuracy,0.5518,0.5518,0.5518,0.5518
macro avg,0.550952781105707,0.5518,0.5470240239040363,10000.0
weighted avg,0.5509527811057068,0.5518,0.5470240239040363,10000.0
