,train,validation,test
R2,0.9572327,0.96144027,0.95557165
MAE,16.047413,15.29631,16.910416
MSE,403.5253,381.60602,433.11035
RMSE (Mejor),20.087938,19.534739,20.811304
Expl_Variance,0.9572494,0.9616526,0.9555904
